date,category,amount,description
2022-08-04,Healthcare,4.25,Doctor Visit ₹4.25
2022-08-04,Transport,5.0,Rapido Ride ₹5.0
2022-08-05,Food,5.0,Zomato Order ₹5.0
2022-08-05,Entertainment,1.4,Spotify Payment ₹1.4
2022-08-05,Healthcare,9.0,Doctor Visit ₹9.0
2022-08-06,Investment,1.6,Mutual Fund SIP ₹1.6
2022-08-06,Insurance,7.6,LIC Premium ₹7.6
2022-08-06,Groceries,0.42,More Supermarket ₹0.42
2022-08-06,Education,7.0,Unacademy Plan ₹7.0
2022-08-07,Fitness,0.46,Protein Supplement ₹0.46
2022-08-07,Dining,24.0,McDonalds Bill ₹24.0
2022-08-08,Bills,1.4,Airtel Postpaid ₹1.4
2022-08-08,Shopping,3.5,Ajio Shopping ₹3.5
2022-08-08,Dining,0.5,KFC Meal ₹0.5
2022-08-09,Healthcare,4.0,Diagnostic Center Payment ₹4.0
2022-08-09,Food,1.45,Dominos Order ₹1.45
2022-08-09,Shopping,1.9,Myntra Order ₹1.9
2022-08-09,Fitness,6.0,CultFit Subscription ₹6.0
2022-08-10,Shopping,12.0,Amazon Purchase ₹12.0
2022-08-10,Healthcare,5.0,Diagnostic Center Payment ₹5.0
2022-08-10,Bills,7.6,Internet Bill ₹7.6
2022-08-11,Bills,1.4,Internet Bill ₹1.4
2022-08-11,Healthcare,4.0,Diagnostic Center Payment ₹4.0
2022-08-11,Shopping,5.0,Flipkart Order ₹5.0
2022-08-11,Shopping,5.0,TataCliq Payment ₹5.0
2022-08-11,Entertainment,7.0,Netflix Subscription ₹7.0
2022-08-11,Investment,10.8,PPF Deposit ₹10.8
2022-08-12,Healthcare,1.43,MedPlus Bill ₹1.43
2022-08-12,Healthcare,1.43,Doctor Visit ₹1.43
2022-08-12,Miscellaneous,4.5,Stationery Store ₹4.5
2022-08-12,Groceries,13.3,DMart Purchase ₹13.3
2022-08-12,Bills,220.0,Electricity Bill BSES ₹220.0
2022-08-12,Entertainment,8.64,Hotstar Renewal ₹8.64
2022-08-13,Healthcare,6.0,MedPlus Bill ₹6.0
2022-08-13,Entertainment,1.0,BookMyShow Ticket ₹1.0
2022-08-13,Groceries,13.0,BigBasket Order ₹13.0
2022-08-13,Dining,6.0,Subway Sandwich ₹6.0
2022-08-13,Insurance,6.0,Health Insurance ₹6.0
2022-08-13,Healthcare,2.3,Diagnostic Center Payment ₹2.3
2022-08-13,Travel,5.0,IRCTC Train Ticket ₹5.0
2022-08-14,Bills,7.6,Jio Fiber Recharge ₹7.6
2022-08-14,Food,7.5,Swiggy Payment ₹7.5
2022-08-14,Entertainment,7.6,Hotstar Renewal ₹7.6
2022-08-14,Groceries,6.3,More Supermarket ₹6.3
2022-08-14,Education,20.0,Coursera Subscription ₹20.0
2022-08-15,Entertainment,7.45,Hotstar Renewal ₹7.45
2022-08-15,Transport,10.0,Train Ticket ₹10.0
2022-08-15,Education,2.0,Skillshare Membership ₹2.0
2022-08-16,Groceries,3.1,BigBasket Order ₹3.1
2022-08-16,Bills,30.0,Internet Bill ₹30.0
2022-08-16,Healthcare,5.5,Diagnostic Center Payment ₹5.5
2022-08-16,Food,6.3,Pizza Hut Bill ₹6.3
2022-08-16,Education,5.0,Unacademy Plan ₹5.0
2022-08-17,Entertainment,4.0,Netflix Subscription ₹4.0
2022-08-17,Fitness,1.0,Gym Membership ₹1.0
2022-08-17,Entertainment,2.8,BookMyShow Ticket ₹2.8
2022-08-17,Insurance,5.5,Health Insurance ₹5.5
2022-08-17,Shopping,8.48,Amazon Purchase ₹8.48
2022-08-18,Groceries,13.0,More Supermarket ₹13.0
2022-08-18,Food,6.78,Zomato Order ₹6.78
2022-08-19,Healthcare,11.25,MedPlus Bill ₹11.25
2022-08-19,Investment,4.0,Mutual Fund SIP ₹4.0
2022-08-19,Food,12.0,Zomato Order ₹12.0
2022-08-19,Insurance,10.0,LIC Premium ₹10.0
2022-08-20,Groceries,37.0,More Supermarket ₹37.0
2022-08-20,Miscellaneous,2.0,Stationery Store ₹2.0
2022-08-20,Entertainment,7.6,Spotify Payment ₹7.6
2022-08-21,Miscellaneous,7.6,Donation ₹7.6
2022-08-21,Fitness,6.7,CultFit Subscription ₹6.7
2022-08-21,Travel,1.3,MakeMyTrip Payment ₹1.3
2022-08-21,Miscellaneous,13.0,Charity ₹13.0
2022-08-22,Food,6.0,Burger King Payment ₹6.0
2022-08-22,Transport,5.0,Uber Trip ₹5.0
2022-08-23,Dining,5.0,McDonalds Bill ₹5.0
2022-08-24,Food,2.0,Burger King Payment ₹2.0
2022-08-24,Healthcare,150.0,Doctor Visit ₹150.0
2022-08-24,Investment,42.53,Mutual Fund SIP ₹42.53
2022-08-24,Healthcare,7.6,Doctor Visit ₹7.6
2022-08-24,Food,3.6,Swiggy Payment ₹3.6
2022-08-25,Miscellaneous,11.1,Gift Shop ₹11.1
2022-08-25,Shopping,7.6,Flipkart Order ₹7.6
2022-08-25,Healthcare,6.4,Apollo Pharmacy ₹6.4
2022-08-25,Food,4.78,Swiggy Payment ₹4.78
2022-08-26,Transport,7.6,Rapido Ride ₹7.6
2022-08-26,Groceries,6.5,DMart Purchase ₹6.5
2022-08-26,Investment,7.6,Stock Purchase ₹7.6
2022-08-26,Miscellaneous,9.5,Stationery Store ₹9.5
2022-08-26,Transport,2.0,Ola Ride ₹2.0
2022-08-27,Miscellaneous,4.0,Petrol Pump ₹4.0
2022-08-27,Bills,9.0,Water Bill ₹9.0
2022-08-27,Bills,0.87,Internet Bill ₹0.87
2022-08-27,Transport,7.6,Train Ticket ₹7.6
2022-08-27,Fitness,6.7,CultFit Subscription ₹6.7
2022-08-27,Entertainment,10.0,Spotify Payment ₹10.0
2022-08-27,Insurance,5.7,LIC Premium ₹5.7
2022-08-28,Groceries,2.0,BigBasket Order ₹2.0
2022-08-28,Food,7.6,Pizza Hut Bill ₹7.6
2022-08-28,Bills,7.6,Water Bill ₹7.6
2022-08-28,Dining,15.2,KFC Meal ₹15.2
2022-08-29,Miscellaneous,3.0,Petrol Pump ₹3.0
2022-08-29,Miscellaneous,14.0,Charity ₹14.0
2022-08-29,Bills,10.0,Water Bill ₹10.0
2022-08-29,Dining,1.7,Subway Sandwich ₹1.7
2022-08-30,Dining,1.6,KFC Meal ₹1.6
2022-08-30,Education,17.6,Byjus Payment ₹17.6
2022-08-30,Education,13.71,Coursera Subscription ₹13.71
2022-08-31,Fitness,16.35,Protein Supplement ₹16.35
2022-08-31,Insurance,8.0,Car Insurance ₹8.0
2022-08-31,Dining,6.6,McDonalds Bill ₹6.6
2022-08-31,Dining,11.4,Barbeque Nation ₹11.4
2022-08-31,Food,5.0,Cafe Coffee Day ₹5.0
2022-09-01,Fitness,8.4,Yoga Class ₹8.4
2022-09-01,Bills,30.0,Water Bill ₹30.0
2022-09-01,Travel,4.0,OYO Rooms Booking ₹4.0
2022-09-01,Transport,12.5,Rapido Ride ₹12.5
2022-09-02,Transport,4.0,Uber Trip ₹4.0
2022-09-02,Miscellaneous,5.0,Stationery Store ₹5.0
2022-09-02,Education,7.6,Coursera Subscription ₹7.6
2022-09-02,Bills,3.9,Jio Fiber Recharge ₹3.9
2022-09-03,Food,10.0,Pizza Hut Bill ₹10.0
2022-09-03,Shopping,14.1,Myntra Order ₹14.1
2022-09-03,Travel,1.12,OYO Rooms Booking ₹1.12
2022-09-03,Dining,7.6,Barbeque Nation ₹7.6
2022-09-03,Food,9.62,Zomato Order ₹9.62
2022-09-04,Food,2.7,Pizza Hut Bill ₹2.7
2022-09-04,Education,5.7,Byjus Payment ₹5.7
2022-09-04,Dining,7.6,McDonalds Bill ₹7.6
2022-09-04,Entertainment,24.0,Hotstar Renewal ₹24.0
2022-09-04,Bills,6.83,Internet Bill ₹6.83
2022-09-04,Insurance,9.0,Car Insurance ₹9.0
2022-09-04,Investment,150.0,Mutual Fund SIP ₹150.0
2022-09-04,Fitness,12.5,Yoga Class ₹12.5
2022-09-04,Healthcare,12.5,Apollo Pharmacy ₹12.5
2022-09-05,Education,11.65,Byjus Payment ₹11.65
2022-09-05,Groceries,12.5,BigBasket Order ₹12.5
2022-09-05,Shopping,4.5,TataCliq Payment ₹4.5
2022-09-05,Dining,7.19,Barbeque Nation ₹7.19
2022-09-06,Groceries,6.5,Reliance Fresh ₹6.5
2022-09-06,Entertainment,200.0,BookMyShow Ticket ₹200.0
2022-09-06,Education,7.0,Unacademy Plan ₹7.0
2022-09-06,Investment,1.0,Stock Purchase ₹1.0
2022-09-07,Entertainment,13.0,Hotstar Renewal ₹13.0
2022-09-07,Investment,4.5,Mutual Fund SIP ₹4.5
2022-09-08,Groceries,4.5,More Supermarket ₹4.5
2022-09-08,Miscellaneous,7.6,Stationery Store ₹7.6
2022-09-09,Investment,9.0,PPF Deposit ₹9.0
2022-09-09,Travel,7.6,IRCTC Train Ticket ₹7.6
2022-09-10,Education,25.0,Unacademy Plan ₹25.0
2022-09-10,Investment,4.0,PPF Deposit ₹4.0
2022-09-10,Dining,7.6,Subway Sandwich ₹7.6
2022-09-10,Miscellaneous,7.6,Charity ₹7.6
2022-09-10,Fitness,6.5,Yoga Class ₹6.5
2022-09-10,Groceries,6.7,Reliance Fresh ₹6.7
2022-09-10,Healthcare,18.0,Doctor Visit ₹18.0
2022-09-10,Education,6.5,Udemy Course ₹6.5
2022-09-10,Bills,4.0,Jio Fiber Recharge ₹4.0
2022-09-11,Shopping,7.0,Flipkart Order ₹7.0
2022-09-11,Miscellaneous,3.0,Petrol Pump ₹3.0
2022-09-11,Fitness,6.7,Yoga Class ₹6.7
2022-09-11,Transport,7.6,Rapido Ride ₹7.6
2022-09-11,Insurance,6.5,Car Insurance ₹6.5
2022-09-11,Miscellaneous,1.15,Charity ₹1.15
2022-09-12,Food,5.0,Pizza Hut Bill ₹5.0
2022-09-12,Investment,3.5,Mutual Fund SIP ₹3.5
2022-09-12,Insurance,1.0,Health Insurance ₹1.0
2022-09-12,Food,7.6,Pizza Hut Bill ₹7.6
2022-09-12,Entertainment,2.6,BookMyShow Ticket ₹2.6
2022-09-13,Miscellaneous,7.34,Petrol Pump ₹7.34
2022-09-13,Groceries,2.0,More Supermarket ₹2.0
2022-09-13,Insurance,4.5,Health Insurance ₹4.5
2022-09-13,Bills,9.5,Airtel Postpaid ₹9.5
2022-09-14,Miscellaneous,6.65,Stationery Store ₹6.65
2022-09-14,Education,8.5,Skillshare Membership ₹8.5
2022-09-15,Investment,8.4,Stock Purchase ₹8.4
2022-09-15,Education,14.2,Udemy Course ₹14.2
2022-09-16,Groceries,0.9,Reliance Fresh ₹0.9
2022-09-16,Education,6.0,Byjus Payment ₹6.0
2022-09-16,Fitness,50.0,Yoga Class ₹50.0
2022-09-16,Investment,7.6,Crypto Investment ₹7.6
2022-09-16,Miscellaneous,8.0,Gift Shop ₹8.0
2022-09-16,Miscellaneous,0.6,Charity ₹0.6
2022-09-16,Miscellaneous,5.6,Gift Shop ₹5.6
2022-09-17,Bills,6.5,Electricity Bill BSES ₹6.5
2022-09-17,Entertainment,12.0,BookMyShow Ticket ₹12.0
2022-09-17,Insurance,6.5,Health Insurance ₹6.5
2022-09-17,Shopping,3.0,Amazon Purchase ₹3.0
2022-09-17,Healthcare,5.0,Doctor Visit ₹5.0
2022-09-17,Groceries,7.6,BigBasket Order ₹7.6
2022-09-17,Groceries,6.5,More Supermarket ₹6.5
2022-09-17,Fitness,2.6,CultFit Subscription ₹2.6
2022-09-17,Entertainment,3.0,Spotify Payment ₹3.0
2022-09-19,Food,8.4,Swiggy Payment ₹8.4
2022-09-19,Groceries,7.6,Reliance Fresh ₹7.6
2022-09-19,Transport,13.0,Delhi Metro Recharge ₹13.0
2022-09-20,Bills,8.4,Water Bill ₹8.4
2022-09-20,Travel,7.6,Air India Flight ₹7.6
2022-09-20,Travel,6.5,IRCTC Train Ticket ₹6.5
2022-09-21,Groceries,1.8,Reliance Fresh ₹1.8
2022-09-21,Dining,8.4,McDonalds Bill ₹8.4
2022-09-21,Healthcare,9.0,Diagnostic Center Payment ₹9.0
2022-09-21,Fitness,1.7,CultFit Subscription ₹1.7
2022-09-22,Insurance,7.6,Car Insurance ₹7.6
2022-09-22,Transport,2.0,Delhi Metro Recharge ₹2.0
2022-09-22,Dining,1.2,Subway Sandwich ₹1.2
2022-09-23,Miscellaneous,6.5,Donation ₹6.5
2022-09-23,Healthcare,25.0,Doctor Visit ₹25.0
2022-09-23,Groceries,6.7,BigBasket Order ₹6.7
2022-09-23,Dining,4.7,Barbeque Nation ₹4.7
2022-09-24,Travel,4.0,Air India Flight ₹4.0
2022-09-24,Dining,25.0,KFC Meal ₹25.0
2022-09-24,Education,3.0,Byjus Payment ₹3.0
2022-09-24,Shopping,16.0,Amazon Purchase ₹16.0
2022-09-24,Investment,1.4,Crypto Investment ₹1.4
2022-09-24,Dining,2.5,KFC Meal ₹2.5
2022-09-24,Shopping,4.0,Ajio Shopping ₹4.0
2022-09-25,Education,7.6,Skillshare Membership ₹7.6
2022-09-25,Dining,3.0,McDonalds Bill ₹3.0
2022-09-25,Fitness,11.6,Gym Membership ₹11.6
2022-09-25,Dining,15.0,Barbeque Nation ₹15.0
2022-09-25,Dining,3.0,McDonalds Bill ₹3.0
2022-09-25,Fitness,10.5,Gym Membership ₹10.5
2022-09-26,Dining,1.0,KFC Meal ₹1.0
2022-09-26,Miscellaneous,9.0,Gift Shop ₹9.0
2022-09-26,Investment,1.83,Mutual Fund SIP ₹1.83
2022-09-26,Shopping,7.6,Ajio Shopping ₹7.6
2022-09-26,Groceries,2.55,DMart Purchase ₹2.55
2022-09-27,Food,4.0,Pizza Hut Bill ₹4.0
2022-09-27,Travel,7.6,OYO Rooms Booking ₹7.6
2022-09-27,Insurance,9.0,Car Insurance ₹9.0
2022-09-28,Travel,8.3,Air India Flight ₹8.3
2022-09-28,Dining,4.0,Barbeque Nation ₹4.0
2022-09-28,Travel,19.0,OYO Rooms Booking ₹19.0
2022-09-28,Dining,4.0,Subway Sandwich ₹4.0
2022-09-29,Food,8.5,Burger King Payment ₹8.5
2022-09-29,Investment,2.55,Stock Purchase ₹2.55
2022-09-30,Dining,4.0,Barbeque Nation ₹4.0
2022-09-30,Fitness,0.9,Gym Membership ₹0.9
2022-09-30,Healthcare,12.0,MedPlus Bill ₹12.0
2022-09-30,Healthcare,14.0,Diagnostic Center Payment ₹14.0
2022-09-30,Investment,6.7,PPF Deposit ₹6.7
2022-09-30,Transport,4.0,Delhi Metro Recharge ₹4.0
2022-10-01,Groceries,5.7,DMart Purchase ₹5.7
2022-10-01,Miscellaneous,38.5,Petrol Pump ₹38.5
2022-10-01,Entertainment,11.0,BookMyShow Ticket ₹11.0
2022-10-01,Investment,5.7,Crypto Investment ₹5.7
2022-10-01,Miscellaneous,15.6,Gift Shop ₹15.6
2022-10-01,Groceries,45.0,More Supermarket ₹45.0
2022-10-01,Entertainment,153.0,BookMyShow Ticket ₹153.0
2022-10-01,Travel,50.0,OYO Rooms Booking ₹50.0
2022-10-01,Transport,4.55,Rapido Ride ₹4.55
2022-10-02,Food,4.0,Cafe Coffee Day ₹4.0
2022-10-02,Travel,11.4,OYO Rooms Booking ₹11.4
2022-10-02,Education,14.0,Udemy Course ₹14.0
2022-10-02,Healthcare,7.0,Diagnostic Center Payment ₹7.0
2022-10-02,Dining,9.5,Barbeque Nation ₹9.5
2022-10-02,Groceries,3.0,DMart Purchase ₹3.0
2022-10-02,Dining,2.0,KFC Meal ₹2.0
2022-10-03,Groceries,1.0,BigBasket Order ₹1.0
2022-10-03,Groceries,9.0,More Supermarket ₹9.0
2022-10-03,Shopping,10.0,TataCliq Payment ₹10.0
2022-10-03,Entertainment,3.3,Hotstar Renewal ₹3.3
2022-10-04,Groceries,4.1,BigBasket Order ₹4.1
2022-10-04,Miscellaneous,3.0,Petrol Pump ₹3.0
2022-10-04,Healthcare,10.0,Apollo Pharmacy ₹10.0
2022-10-04,Education,10.0,Udemy Course ₹10.0
2022-10-05,Entertainment,1.9,YouTube Premium ₹1.9
2022-10-05,Healthcare,5.0,Apollo Pharmacy ₹5.0
2022-10-05,Miscellaneous,7.6,Donation ₹7.6
2022-10-05,Travel,7.0,Air India Flight ₹7.0
2022-10-06,Groceries,1.0,BigBasket Order ₹1.0
2022-10-06,Transport,60.2,Rapido Ride ₹60.2
2022-10-06,Insurance,5.7,Car Insurance ₹5.7
2022-10-06,Food,5.7,Dominos Order ₹5.7
2022-10-06,Dining,11.0,KFC Meal ₹11.0
2022-10-06,Fitness,0.9,Yoga Class ₹0.9
2022-10-06,Shopping,3.0,TataCliq Payment ₹3.0
2022-10-07,Insurance,2.2,LIC Premium ₹2.2
2022-10-07,Transport,10.0,Uber Trip ₹10.0
2022-10-07,Dining,7.0,Subway Sandwich ₹7.0
2022-10-07,Travel,2.0,Air India Flight ₹2.0
2022-10-08,Insurance,45.0,LIC Premium ₹45.0
2022-10-08,Bills,5.0,Airtel Postpaid ₹5.0
2022-10-08,Entertainment,3.0,YouTube Premium ₹3.0
2022-10-08,Shopping,13.0,Myntra Order ₹13.0
2022-10-08,Food,6.7,Cafe Coffee Day ₹6.7
2022-10-08,Insurance,6.7,Health Insurance ₹6.7
2022-10-08,Transport,30.0,Uber Trip ₹30.0
2022-10-09,Miscellaneous,7.0,Gift Shop ₹7.0
2022-10-09,Food,10.0,Swiggy Payment ₹10.0
2022-10-09,Dining,19.0,Barbeque Nation ₹19.0
2022-10-09,Healthcare,6.7,MedPlus Bill ₹6.7
2022-10-09,Fitness,12.0,Protein Supplement ₹12.0
2022-10-09,Bills,6.7,Jio Fiber Recharge ₹6.7
2022-10-09,Food,6.0,Burger King Payment ₹6.0
2022-10-09,Healthcare,2.8,Apollo Pharmacy ₹2.8
2022-10-10,Education,5.7,Coursera Subscription ₹5.7
2022-10-10,Entertainment,6.7,Netflix Subscription ₹6.7
2022-10-10,Food,6.6,Pizza Hut Bill ₹6.6
2022-10-10,Healthcare,1.6,Doctor Visit ₹1.6
2022-10-10,Investment,16.0,Crypto Investment ₹16.0
2022-10-10,Miscellaneous,16.0,Donation ₹16.0
2022-10-11,Food,1.0,Swiggy Payment ₹1.0
2022-10-11,Fitness,9.0,CultFit Subscription ₹9.0
2022-10-11,Healthcare,7.0,MedPlus Bill ₹7.0
2022-10-11,Education,6.7,Byjus Payment ₹6.7
2022-10-11,Education,6.7,Skillshare Membership ₹6.7
2022-10-11,Groceries,6.7,Reliance Fresh ₹6.7
2022-10-11,Fitness,1.0,Yoga Class ₹1.0
2022-10-11,Entertainment,1.2,Hotstar Renewal ₹1.2
2022-10-12,Shopping,1.0,Ajio Shopping ₹1.0
2022-10-12,Bills,14.0,Jio Fiber Recharge ₹14.0
2022-10-12,Dining,5.0,Subway Sandwich ₹5.0
2022-10-12,Insurance,5.7,LIC Premium ₹5.7
2022-10-12,Shopping,5.7,Flipkart Order ₹5.7
2022-10-13,Miscellaneous,20.0,Gift Shop ₹20.0
2022-10-13,Food,3.7,Cafe Coffee Day ₹3.7
2022-10-13,Bills,9.0,Airtel Postpaid ₹9.0
2022-10-13,Travel,14.0,IRCTC Train Ticket ₹14.0
2022-10-13,Fitness,0.6,Gym Membership ₹0.6
2022-10-13,Insurance,7.0,Car Insurance ₹7.0
2022-10-13,Education,5.7,Udemy Course ₹5.7
2022-10-13,Investment,5.49,Mutual Fund SIP ₹5.49
2022-10-14,Miscellaneous,1.5,Stationery Store ₹1.5
2022-10-14,Fitness,11.0,Gym Membership ₹11.0
2022-10-14,Entertainment,5.7,YouTube Premium ₹5.7
2022-10-14,Bills,6.77,Water Bill ₹6.77
2022-10-15,Dining,5.0,Barbeque Nation ₹5.0
2022-10-15,Dining,5.7,McDonalds Bill ₹5.7
2022-10-15,Transport,11.2,Uber Trip ₹11.2
2022-10-15,Food,100.0,Dominos Order ₹100.0
2022-10-15,Entertainment,5.7,BookMyShow Ticket ₹5.7
2022-10-15,Bills,5.4,Airtel Postpaid ₹5.4
2022-10-15,Fitness,1.0,Protein Supplement ₹1.0
2022-10-15,Education,0.7,Udemy Course ₹0.7
2022-10-16,Transport,11.0,Rapido Ride ₹11.0
2022-10-16,Groceries,2.0,BigBasket Order ₹2.0
2022-10-16,Shopping,6.5,Flipkart Order ₹6.5
2022-10-16,Entertainment,2.0,BookMyShow Ticket ₹2.0
2022-10-16,Travel,9.0,IRCTC Train Ticket ₹9.0
2022-10-17,Transport,150.0,Train Ticket ₹150.0
2022-10-17,Travel,10.0,MakeMyTrip Payment ₹10.0
2022-10-18,Bills,1.8,Jio Fiber Recharge ₹1.8
2022-10-18,Insurance,4.0,Car Insurance ₹4.0
2022-10-18,Miscellaneous,0.6,Stationery Store ₹0.6
2022-10-18,Shopping,2.0,Amazon Purchase ₹2.0
2022-10-18,Entertainment,18.0,Hotstar Renewal ₹18.0
2022-10-19,Groceries,21.0,DMart Purchase ₹21.0
2022-10-19,Food,11.4,Dominos Order ₹11.4
2022-10-19,Education,5.2,Skillshare Membership ₹5.2
2022-10-19,Miscellaneous,6.7,Donation ₹6.7
2022-10-19,Miscellaneous,5.7,Petrol Pump ₹5.7
2022-10-19,Education,12.0,Coursera Subscription ₹12.0
2022-10-19,Healthcare,2.46,Diagnostic Center Payment ₹2.46
2022-10-20,Bills,13.0,Airtel Postpaid ₹13.0
2022-10-20,Education,1.0,Skillshare Membership ₹1.0
2022-10-20,Transport,5.7,Train Ticket ₹5.7
2022-10-20,Fitness,6.0,Protein Supplement ₹6.0
2022-10-20,Bills,7.0,Water Bill ₹7.0
2022-10-20,Groceries,6.0,BigBasket Order ₹6.0
2022-10-20,Fitness,1.6,Protein Supplement ₹1.6
2022-10-21,Shopping,11.5,Myntra Order ₹11.5
2022-10-21,Education,13.2,Skillshare Membership ₹13.2
2022-10-22,Healthcare,135.0,Doctor Visit ₹135.0
2022-10-22,Miscellaneous,14.0,Charity ₹14.0
2022-10-22,Miscellaneous,5.7,Charity ₹5.7
2022-10-22,Dining,4.43,Subway Sandwich ₹4.43
