date,amount,description
2022-07-15 12:42:39 +0000,6,MakeMyTrip Payment ₹6.0
2022-07-15 15:37:35 +0000,6.6,Charity ₹6.6
2022-07-15 18:24:42 +0000,7.44,Crypto Investment ₹7.44
2022-07-16 08:26:25 +0000,16,Ajio Shopping ₹16.0
2022-07-16 09:19:28 +0000,2,Car Insurance ₹2.0
2022-07-16 09:49:31 +0000,7.6,Subway Sandwich ₹7.6
2022-07-17 10:12:20 +0000,5,Cab Fare ₹5.0
2022-07-17 10:12:22 +0000,7.6,Ajio Shopping ₹7.6
2022-07-17 10:59:19 +0000,7.6,Subway Sandwich ₹7.6
2022-07-17 16:22:17 +0000,10,Ajio Shopping ₹10.0
2022-07-17 16:55:41 +0000,4.5,Skillshare Membership ₹4.5
2022-07-18 10:54:56 +0000,15.2,Delhi Metro Recharge ₹15.2
2022-07-19 11:18:02 +0000,15.6,Diagnostic Center Payment ₹15.6
2022-07-19 12:26:37 +0000,3,Mutual Fund SIP ₹3.0
2022-07-19 17:48:53 +0000,18,Stationery Store ₹18.0
2022-07-19 17:48:55 +0000,10,More Supermarket ₹10.0
2022-07-20 11:59:47 +0000,5.5,Mutual Fund SIP ₹5.5
2022-07-20 11:59:52 +0000,4.38,Coursera Subscription ₹4.38
2022-07-20 13:37:03 +0000,10,Electricity Bill BSES ₹10.0
2022-07-20 14:33:00 +0000,7.6,Pizza Hut Bill ₹7.6
2022-07-20 19:23:39 +0000,4,Coursera Subscription ₹4.0
2022-07-21 01:27:52 +0000,8,Mutual Fund SIP ₹8.0
2022-07-27 17:44:12 +0000,7.6,DMart Purchase ₹7.6
2022-07-27 21:09:08 +0000,8,Barbeque Nation ₹8.0
2022-07-28 00:51:54 +0000,87,Train Ticket ₹87.0
2022-07-28 00:52:30 +0000,135.5,Hotstar Renewal ₹135.5
2022-07-28 00:52:37 +0000,90,Hotstar Renewal ₹90.0
2022-07-28 15:59:29 +0000,8,Airtel Postpaid ₹8.0
2022-07-28 19:18:45 +0000,675,Jio Fiber Recharge ₹675.0
2022-07-28 19:19:02 +0000,733.25,Reliance Fresh ₹733.25
2022-07-28 19:21:17 +0000,80,Yoga Class ₹80.0
2022-07-28 19:23:16 +0000,15,Protein Supplement ₹15.0
2022-07-28 19:24:50 +0000,9,Myntra Order ₹9.0
2022-07-29 10:44:07 +0000,7,Electricity Bill BSES ₹7.0
2022-07-29 14:43:54 +0000,7,Coursera Subscription ₹7.0
2022-07-29 14:43:57 +0000,1,MedPlus Bill ₹1.0
2022-07-29 14:44:10 +0000,260,Apollo Pharmacy ₹260.0
2022-07-30 08:41:21 +0000,7.6,IRCTC Train Ticket ₹7.6
2022-07-30 12:08:27 +0000,28.4,Barbeque Nation ₹28.4
2022-07-30 16:57:05 +0000,7.5,Flipkart Order ₹7.5
2022-07-31 10:51:59 +0000,3,Barbeque Nation ₹3.0
2022-07-31 14:18:59 +0000,6.5,Apollo Pharmacy ₹6.5
2022-08-01 05:10:13 +0000,4,Electricity Bill BSES ₹4.0
2022-08-01 12:28:01 +0000,2,Amazon Purchase ₹2.0
2022-08-01 15:15:20 +0000,5.3,Pizza Hut Bill ₹5.3
2022-08-01 15:15:22 +0000,5,Ajio Shopping ₹5.0
2022-08-01 19:48:07 +0000,14,Flipkart Order ₹14.0
2022-08-02 10:21:16 +0000,5.5,Dominos Order ₹5.5
2022-08-02 15:11:18 +0000,7.2,Myntra Order ₹7.2
2022-08-03 04:57:19 +0000,1.4,Protein Supplement ₹1.4
2022-08-03 06:31:31 +0000,4.8,Air India Flight ₹4.8
2022-08-03 06:32:08 +0000,68.3,Airtel Postpaid ₹68.3
2022-08-03 11:30:32 +0000,5,LIC Premium ₹5.0
2022-08-03 14:40:23 +0000,7.6,Uber Trip ₹7.6
2022-08-04 04:55:30 +0000,4.14,CultFit Subscription ₹4.14
2022-08-04 05:50:45 +0000,4.25,Doctor Visit ₹4.25
2022-08-04 10:31:16 +0000,5,Rapido Ride ₹5.0
2022-08-05 04:01:58 +0000,5,Zomato Order ₹5.0
2022-08-05 05:01:59 +0000,1.4,Spotify Payment ₹1.4
2022-08-05 09:07:01 +0000,9,Doctor Visit ₹9.0
2022-08-06 07:22:47 +0000,1.6,Mutual Fund SIP ₹1.6
2022-08-06 07:24:57 +0000,7.6,LIC Premium ₹7.6
2022-08-06 13:45:46 +0000,0.42,More Supermarket ₹0.42
2022-08-06 13:45:51 +0000,7,Unacademy Plan ₹7.0
2022-08-07 11:26:56 +0000,0.46,Protein Supplement ₹0.46
2022-08-07 15:31:36 +0000,24,McDonalds Bill ₹24.0
2022-08-08 05:04:56 +0000,1.4,Airtel Postpaid ₹1.4
2022-08-08 08:30:46 +0000,3.5,Ajio Shopping ₹3.5
2022-08-08 15:43:37 +0000,0.5,KFC Meal ₹0.5
2022-08-09 09:21:41 +0000,4,Diagnostic Center Payment ₹4.0
2022-08-09 09:21:57 +0000,1.45,Dominos Order ₹1.45
2022-08-09 12:35:45 +0000,1.9,Myntra Order ₹1.9
2022-08-09 17:48:55 +0000,6,CultFit Subscription ₹6.0
2022-08-10 06:13:21 +0000,12,Amazon Purchase ₹12.0
2022-08-10 14:09:34 +0000,5,Diagnostic Center Payment ₹5.0
2022-08-10 14:17:53 +0000,7.6,Internet Bill ₹7.6
2022-08-11 04:42:14 +0000,1.4,Internet Bill ₹1.4
2022-08-11 05:57:33 +0000,4,Diagnostic Center Payment ₹4.0
2022-08-11 06:04:54 +0000,5,Flipkart Order ₹5.0
2022-08-11 08:35:30 +0000,5,TataCliq Payment ₹5.0
2022-08-11 16:50:44 +0000,7,Netflix Subscription ₹7.0
2022-08-11 17:46:33 +0000,10.8,PPF Deposit ₹10.8
2022-08-12 04:45:03 +0000,1.43,MedPlus Bill ₹1.43
2022-08-12 09:46:46 +0000,1.43,Doctor Visit ₹1.43
2022-08-12 10:36:35 +0000,4.5,Stationery Store ₹4.5
2022-08-12 11:12:19 +0000,13.3,DMart Purchase ₹13.3
2022-08-12 12:13:20 +0000,220,Electricity Bill BSES ₹220.0
2022-08-12 15:42:41 +0000,8.64,Hotstar Renewal ₹8.64
2022-08-13 05:27:54 +0000,6,MedPlus Bill ₹6.0
2022-08-13 05:50:02 +0000,1,BookMyShow Ticket ₹1.0
2022-08-13 09:31:09 +0000,13,BigBasket Order ₹13.0
2022-08-13 09:31:13 +0000,6,Subway Sandwich ₹6.0
2022-08-13 09:31:32 +0000,6,Health Insurance ₹6.0
2022-08-13 14:39:33 +0000,2.3,Diagnostic Center Payment ₹2.3
2022-08-13 15:32:31 +0000,5,IRCTC Train Ticket ₹5.0
2022-08-14 06:41:57 +0000,7.6,Jio Fiber Recharge ₹7.6
2022-08-14 08:01:58 +0000,7.5,Swiggy Payment ₹7.5
2022-08-14 09:41:05 +0000,7.6,Hotstar Renewal ₹7.6
2022-08-14 12:40:47 +0000,6.3,More Supermarket ₹6.3
2022-08-14 15:55:13 +0000,20,Coursera Subscription ₹20.0
2022-08-15 07:26:16 +0000,7.45,Hotstar Renewal ₹7.45
2022-08-15 19:12:02 +0000,10,Train Ticket ₹10.0
2022-08-15 19:12:03 +0000,2,Skillshare Membership ₹2.0
2022-08-16 04:24:19 +0000,3.1,BigBasket Order ₹3.1
2022-08-16 05:20:42 +0000,30,Internet Bill ₹30.0
2022-08-16 08:37:20 +0000,5.5,Diagnostic Center Payment ₹5.5
2022-08-16 17:27:54 +0000,6.3,Pizza Hut Bill ₹6.3
2022-08-16 17:27:57 +0000,5,Unacademy Plan ₹5.0
2022-08-17 02:47:05 +0000,4,Netflix Subscription ₹4.0
2022-08-17 03:02:23 +0000,1,Gym Membership ₹1.0
2022-08-17 04:28:32 +0000,2.8,BookMyShow Ticket ₹2.8
2022-08-17 09:55:39 +0000,5.5,Health Insurance ₹5.5
2022-08-17 19:07:58 +0000,8.48,Amazon Purchase ₹8.48
2022-08-18 09:16:16 +0000,13,More Supermarket ₹13.0
2022-08-18 19:23:24 +0000,6.78,Zomato Order ₹6.78
2022-08-19 04:28:17 +0000,11.25,MedPlus Bill ₹11.25
2022-08-19 04:28:20 +0000,4,Mutual Fund SIP ₹4.0
2022-08-19 10:09:05 +0000,12,Zomato Order ₹12.0
2022-08-19 16:58:44 +0000,10,LIC Premium ₹10.0
2022-08-20 06:50:04 +0000,37,More Supermarket ₹37.0
2022-08-20 06:50:06 +0000,2,Stationery Store ₹2.0
2022-08-20 12:17:15 +0000,7.6,Spotify Payment ₹7.6
2022-08-21 08:46:12 +0000,7.6,Donation ₹7.6
2022-08-21 11:29:50 +0000,6.7,CultFit Subscription ₹6.7
2022-08-21 12:39:07 +0000,1.3,MakeMyTrip Payment ₹1.3
2022-08-21 15:24:17 +0000,13,Charity ₹13.0
2022-08-22 04:50:11 +0000,6,Burger King Payment ₹6.0
2022-08-22 08:57:45 +0000,5,Uber Trip ₹5.0
2022-08-23 09:00:30 +0000,5,McDonalds Bill ₹5.0
2022-08-24 04:20:44 +0000,2,Burger King Payment ₹2.0
2022-08-24 04:21:54 +0000,150,Doctor Visit ₹150.0
2022-08-24 11:11:27 +0000,42.53,Mutual Fund SIP ₹42.53
2022-08-24 14:57:43 +0000,7.6,Doctor Visit ₹7.6
2022-08-24 18:42:57 +0000,3.6,Swiggy Payment ₹3.6
2022-08-25 13:28:33 +0000,11.1,Gift Shop ₹11.1
2022-08-25 15:14:26 +0000,7.6,Flipkart Order ₹7.6
2022-08-25 17:13:04 +0000,6.4,Apollo Pharmacy ₹6.4
2022-08-25 19:57:49 +0000,4.78,Swiggy Payment ₹4.78
2022-08-26 11:24:54 +0000,7.6,Rapido Ride ₹7.6
2022-08-26 14:22:44 +0000,6.5,DMart Purchase ₹6.5
2022-08-26 14:46:51 +0000,7.6,Stock Purchase ₹7.6
2022-08-26 19:22:57 +0000,9.5,Stationery Store ₹9.5
2022-08-26 19:22:59 +0000,2,Ola Ride ₹2.0
2022-08-27 06:39:10 +0000,4,Petrol Pump ₹4.0
2022-08-27 08:13:02 +0000,9,Water Bill ₹9.0
2022-08-27 10:46:17 +0000,0.87,Internet Bill ₹0.87
2022-08-27 13:30:26 +0000,7.6,Train Ticket ₹7.6
2022-08-27 15:14:03 +0000,6.7,CultFit Subscription ₹6.7
2022-08-27 19:10:58 +0000,10,Spotify Payment ₹10.0
2022-08-27 19:59:10 +0000,5.7,LIC Premium ₹5.7
2022-08-28 09:48:55 +0000,2,BigBasket Order ₹2.0
2022-08-28 10:17:35 +0000,7.6,Pizza Hut Bill ₹7.6
2022-08-28 12:22:39 +0000,7.6,Water Bill ₹7.6
2022-08-28 16:40:34 +0000,15.2,KFC Meal ₹15.2
2022-08-29 08:35:23 +0000,3,Petrol Pump ₹3.0
2022-08-29 10:05:37 +0000,14,Charity ₹14.0
2022-08-29 15:19:54 +0000,10,Water Bill ₹10.0
2022-08-29 15:59:24 +0000,1.7,Subway Sandwich ₹1.7
2022-08-30 04:53:30 +0000,1.6,KFC Meal ₹1.6
2022-08-30 11:06:48 +0000,17.6,Byjus Payment ₹17.6
2022-08-30 15:13:47 +0000,13.71,Coursera Subscription ₹13.71
2022-08-31 04:22:11 +0000,16.35,Protein Supplement ₹16.35
2022-08-31 09:48:00 +0000,8,Car Insurance ₹8.0
2022-08-31 14:23:57 +0000,6.6,McDonalds Bill ₹6.6
2022-08-31 16:34:21 +0000,11.4,Barbeque Nation ₹11.4
2022-08-31 17:52:48 +0000,5,Cafe Coffee Day ₹5.0
2022-09-01 09:47:27 +0000,8.4,Yoga Class ₹8.4
2022-09-01 18:50:16 +0000,30,Water Bill ₹30.0
2022-09-01 21:06:18 +0000,4,OYO Rooms Booking ₹4.0
2022-09-01 21:06:22 +0000,12.5,Rapido Ride ₹12.5
2022-09-02 04:28:35 +0000,4,Uber Trip ₹4.0
2022-09-02 10:11:30 +0000,5,Stationery Store ₹5.0
2022-09-02 15:58:30 +0000,7.6,Coursera Subscription ₹7.6
2022-09-02 18:18:54 +0000,3.9,Jio Fiber Recharge ₹3.9
2022-09-03 08:03:07 +0000,10,Pizza Hut Bill ₹10.0
2022-09-03 13:26:32 +0000,14.1,Myntra Order ₹14.1
2022-09-03 14:23:34 +0000,1.12,OYO Rooms Booking ₹1.12
2022-09-03 15:52:37 +0000,7.6,Barbeque Nation ₹7.6
2022-09-03 19:16:55 +0000,9.62,Zomato Order ₹9.62
2022-09-04 06:50:53 +0000,2.7,Pizza Hut Bill ₹2.7
2022-09-04 06:50:56 +0000,5.7,Byjus Payment ₹5.7
2022-09-04 09:11:50 +0000,7.6,McDonalds Bill ₹7.6
2022-09-04 09:12:07 +0000,24,Hotstar Renewal ₹24.0
2022-09-04 11:12:36 +0000,6.83,Internet Bill ₹6.83
2022-09-04 19:46:17 +0000,9,Car Insurance ₹9.0
2022-09-04 19:46:20 +0000,150,Mutual Fund SIP ₹150.0
2022-09-04 19:46:30 +0000,12.5,Yoga Class ₹12.5
2022-09-04 19:46:44 +0000,12.5,Apollo Pharmacy ₹12.5
2022-09-05 05:05:17 +0000,11.65,Byjus Payment ₹11.65
2022-09-05 09:37:25 +0000,12.5,BigBasket Order ₹12.5
2022-09-05 10:46:06 +0000,4.5,TataCliq Payment ₹4.5
2022-09-05 15:11:08 +0000,7.19,Barbeque Nation ₹7.19
2022-09-06 04:51:51 +0000,6.5,Reliance Fresh ₹6.5
2022-09-06 16:20:41 +0000,200,BookMyShow Ticket ₹200.0
2022-09-06 16:30:24 +0000,7,Unacademy Plan ₹7.0
2022-09-06 16:30:26 +0000,1,Stock Purchase ₹1.0
2022-09-07 18:42:54 +0000,13,Hotstar Renewal ₹13.0
2022-09-07 18:43:01 +0000,4.5,Mutual Fund SIP ₹4.5
2022-09-08 08:42:16 +0000,4.5,More Supermarket ₹4.5
2022-09-08 15:43:50 +0000,7.6,Stationery Store ₹7.6
2022-09-09 10:31:31 +0000,9,PPF Deposit ₹9.0
2022-09-09 14:31:05 +0000,7.6,IRCTC Train Ticket ₹7.6
2022-09-10 08:09:26 +0000,25,Unacademy Plan ₹25.0
2022-09-10 09:28:20 +0000,4,PPF Deposit ₹4.0
2022-09-10 10:53:52 +0000,7.6,Subway Sandwich ₹7.6
2022-09-10 11:57:45 +0000,7.6,Charity ₹7.6
2022-09-10 13:19:32 +0000,6.5,Yoga Class ₹6.5
2022-09-10 17:17:30 +0000,6.7,Reliance Fresh ₹6.7
2022-09-10 18:39:45 +0000,18,Doctor Visit ₹18.0
2022-09-10 18:39:47 +0000,6.5,Udemy Course ₹6.5
2022-09-10 21:26:25 +0000,4,Jio Fiber Recharge ₹4.0
2022-09-11 09:58:22 +0000,7,Flipkart Order ₹7.0
2022-09-11 09:58:25 +0000,3,Petrol Pump ₹3.0
2022-09-11 12:12:42 +0000,6.7,Yoga Class ₹6.7
2022-09-11 12:56:01 +0000,7.6,Rapido Ride ₹7.6
2022-09-11 14:57:39 +0000,6.5,Car Insurance ₹6.5
2022-09-11 18:34:57 +0000,1.15,Charity ₹1.15
2022-09-12 14:40:09 +0000,5,Pizza Hut Bill ₹5.0
2022-09-12 14:40:16 +0000,3.5,Mutual Fund SIP ₹3.5
2022-09-12 15:23:18 +0000,1,Health Insurance ₹1.0
2022-09-12 17:58:50 +0000,7.6,Pizza Hut Bill ₹7.6
2022-09-12 19:08:02 +0000,2.6,BookMyShow Ticket ₹2.6
2022-09-13 05:17:42 +0000,7.34,Petrol Pump ₹7.34
2022-09-13 10:37:33 +0000,2,More Supermarket ₹2.0
2022-09-13 19:22:57 +0000,4.5,Health Insurance ₹4.5
2022-09-13 19:23:03 +0000,9.5,Airtel Postpaid ₹9.5
2022-09-14 04:54:40 +0000,6.65,Stationery Store ₹6.65
2022-09-14 09:19:13 +0000,8.5,Skillshare Membership ₹8.5
2022-09-15 10:29:47 +0000,8.4,Stock Purchase ₹8.4
2022-09-15 19:25:31 +0000,14.2,Udemy Course ₹14.2
2022-09-16 09:33:08 +0000,0.9,Reliance Fresh ₹0.9
2022-09-16 09:33:10 +0000,6,Byjus Payment ₹6.0
2022-09-16 12:24:22 +0000,50,Yoga Class ₹50.0
2022-09-16 15:50:46 +0000,7.6,Crypto Investment ₹7.6
2022-09-16 15:50:48 +0000,8,Gift Shop ₹8.0
2022-09-16 15:50:52 +0000,0.6,Charity ₹0.6
2022-09-16 19:04:17 +0000,5.6,Gift Shop ₹5.6
2022-09-17 07:51:20 +0000,6.5,Electricity Bill BSES ₹6.5
2022-09-17 07:51:29 +0000,12,BookMyShow Ticket ₹12.0
2022-09-17 07:51:32 +0000,6.5,Health Insurance ₹6.5
2022-09-17 10:37:54 +0000,3,Amazon Purchase ₹3.0
2022-09-17 11:49:14 +0000,5,Doctor Visit ₹5.0
2022-09-17 12:24:45 +0000,7.6,BigBasket Order ₹7.6
2022-09-17 15:39:47 +0000,6.5,More Supermarket ₹6.5
2022-09-17 17:34:30 +0000,2.6,CultFit Subscription ₹2.6
2022-09-17 17:49:22 +0000,3,Spotify Payment ₹3.0
2022-09-19 12:39:04 +0000,8.4,Swiggy Payment ₹8.4
2022-09-19 15:38:26 +0000,7.6,Reliance Fresh ₹7.6
2022-09-19 19:34:10 +0000,13,Delhi Metro Recharge ₹13.0
2022-09-20 09:09:44 +0000,8.4,Water Bill ₹8.4
2022-09-20 15:18:34 +0000,7.6,Air India Flight ₹7.6
2022-09-20 16:48:53 +0000,6.5,IRCTC Train Ticket ₹6.5
2022-09-21 04:47:31 +0000,1.8,Reliance Fresh ₹1.8
2022-09-21 09:56:31 +0000,8.4,McDonalds Bill ₹8.4
2022-09-21 15:48:35 +0000,9,Diagnostic Center Payment ₹9.0
2022-09-21 18:41:51 +0000,1.7,CultFit Subscription ₹1.7
2022-09-22 16:09:57 +0000,7.6,Car Insurance ₹7.6
2022-09-22 17:17:53 +0000,2,Delhi Metro Recharge ₹2.0
2022-09-22 19:38:45 +0000,1.2,Subway Sandwich ₹1.2
2022-09-23 16:32:21 +0000,6.5,Donation ₹6.5
2022-09-23 16:32:24 +0000,25,Doctor Visit ₹25.0
2022-09-23 18:45:07 +0000,6.7,BigBasket Order ₹6.7
2022-09-23 20:37:29 +0000,4.7,Barbeque Nation ₹4.7
2022-09-24 06:48:54 +0000,4,Air India Flight ₹4.0
2022-09-24 12:26:52 +0000,25,KFC Meal ₹25.0
2022-09-24 14:30:23 +0000,3,Byjus Payment ₹3.0
2022-09-24 15:51:02 +0000,16,Amazon Purchase ₹16.0
2022-09-24 17:11:31 +0000,1.4,Crypto Investment ₹1.4
2022-09-24 18:28:24 +0000,2.5,KFC Meal ₹2.5
2022-09-24 18:46:38 +0000,4,Ajio Shopping ₹4.0
2022-09-25 09:36:43 +0000,7.6,Skillshare Membership ₹7.6
2022-09-25 09:36:44 +0000,3,McDonalds Bill ₹3.0
2022-09-25 11:04:20 +0000,11.6,Gym Membership ₹11.6
2022-09-25 16:26:47 +0000,15,Barbeque Nation ₹15.0
2022-09-25 18:13:56 +0000,3,McDonalds Bill ₹3.0
2022-09-25 18:39:51 +0000,10.5,Gym Membership ₹10.5
2022-09-26 04:05:41 +0000,1,KFC Meal ₹1.0
2022-09-26 09:18:49 +0000,9,Gift Shop ₹9.0
2022-09-26 09:42:03 +0000,1.83,Mutual Fund SIP ₹1.83
2022-09-26 15:02:08 +0000,7.6,Ajio Shopping ₹7.6
2022-09-26 19:38:55 +0000,2.55,DMart Purchase ₹2.55
2022-09-27 04:24:19 +0000,4,Pizza Hut Bill ₹4.0
2022-09-27 16:18:55 +0000,7.6,OYO Rooms Booking ₹7.6
2022-09-27 20:00:34 +0000,9,Car Insurance ₹9.0
2022-09-28 09:59:45 +0000,8.3,Air India Flight ₹8.3
2022-09-28 13:47:37 +0000,4,Barbeque Nation ₹4.0
2022-09-28 17:47:46 +0000,19,OYO Rooms Booking ₹19.0
2022-09-28 19:00:51 +0000,4,Subway Sandwich ₹4.0
2022-09-29 11:02:09 +0000,8.5,Burger King Payment ₹8.5
2022-09-29 16:06:48 +0000,2.55,Stock Purchase ₹2.55
2022-09-30 04:42:46 +0000,4,Barbeque Nation ₹4.0
2022-09-30 09:28:52 +0000,0.9,Gym Membership ₹0.9
2022-09-30 09:28:55 +0000,12,MedPlus Bill ₹12.0
2022-09-30 15:05:22 +0000,14,Diagnostic Center Payment ₹14.0
2022-09-30 16:47:44 +0000,6.7,PPF Deposit ₹6.7
2022-09-30 21:00:19 +0000,4,Delhi Metro Recharge ₹4.0
2022-10-01 06:05:39 +0000,5.7,DMart Purchase ₹5.7
2022-10-01 07:48:49 +0000,38.5,Petrol Pump ₹38.5
2022-10-01 08:04:41 +0000,11,BookMyShow Ticket ₹11.0
2022-10-01 10:57:56 +0000,5.7,Crypto Investment ₹5.7
2022-10-01 13:54:34 +0000,15.6,Gift Shop ₹15.6
2022-10-01 14:24:15 +0000,45,More Supermarket ₹45.0
2022-10-01 14:50:35 +0000,153,BookMyShow Ticket ₹153.0
2022-10-01 15:02:52 +0000,50,OYO Rooms Booking ₹50.0
2022-10-01 15:41:18 +0000,4.55,Rapido Ride ₹4.55
2022-10-02 05:35:56 +0000,4,Cafe Coffee Day ₹4.0
2022-10-02 10:54:54 +0000,11.4,OYO Rooms Booking ₹11.4
2022-10-02 11:30:54 +0000,14,Udemy Course ₹14.0
2022-10-02 11:31:51 +0000,7,Diagnostic Center Payment ₹7.0
2022-10-02 12:52:12 +0000,9.5,Barbeque Nation ₹9.5
2022-10-02 16:07:28 +0000,3,DMart Purchase ₹3.0
2022-10-02 16:58:58 +0000,2,KFC Meal ₹2.0
2022-10-03 05:04:56 +0000,1,BigBasket Order ₹1.0
2022-10-03 09:24:19 +0000,9,More Supermarket ₹9.0
2022-10-03 15:28:36 +0000,10,TataCliq Payment ₹10.0
2022-10-03 15:53:05 +0000,3.3,Hotstar Renewal ₹3.3
2022-10-04 05:09:32 +0000,4.1,BigBasket Order ₹4.1
2022-10-04 08:42:43 +0000,3,Petrol Pump ₹3.0
2022-10-04 13:35:12 +0000,10,Apollo Pharmacy ₹10.0
2022-10-04 17:27:15 +0000,10,Udemy Course ₹10.0
2022-10-05 04:50:48 +0000,1.9,YouTube Premium ₹1.9
2022-10-05 08:58:10 +0000,5,Apollo Pharmacy ₹5.0
2022-10-05 15:02:36 +0000,7.6,Donation ₹7.6
2022-10-05 19:38:34 +0000,7,Air India Flight ₹7.0
2022-10-06 06:46:30 +0000,1,BigBasket Order ₹1.0
2022-10-06 11:56:56 +0000,60.2,Rapido Ride ₹60.2
2022-10-06 11:57:02 +0000,5.7,Car Insurance ₹5.7
2022-10-06 12:05:39 +0000,5.7,Dominos Order ₹5.7
2022-10-06 17:29:26 +0000,11,KFC Meal ₹11.0
2022-10-06 17:40:04 +0000,0.9,Yoga Class ₹0.9
2022-10-06 18:03:26 +0000,3,TataCliq Payment ₹3.0
2022-10-07 04:52:02 +0000,2.2,LIC Premium ₹2.2
2022-10-07 09:11:45 +0000,10,Uber Trip ₹10.0
2022-10-07 10:32:38 +0000,7,Subway Sandwich ₹7.0
2022-10-07 17:46:25 +0000,2,Air India Flight ₹2.0
2022-10-08 05:10:24 +0000,45,LIC Premium ₹45.0
2022-10-08 05:10:26 +0000,5,Airtel Postpaid ₹5.0
2022-10-08 05:57:17 +0000,3,YouTube Premium ₹3.0
2022-10-08 07:39:53 +0000,13,Myntra Order ₹13.0
2022-10-08 09:20:38 +0000,6.7,Cafe Coffee Day ₹6.7
2022-10-08 11:46:28 +0000,6.7,Health Insurance ₹6.7
2022-10-08 15:44:06 +0000,30,Uber Trip ₹30.0
2022-10-09 06:59:43 +0000,7,Gift Shop ₹7.0
2022-10-09 07:28:13 +0000,10,Swiggy Payment ₹10.0
2022-10-09 10:15:41 +0000,19,Barbeque Nation ₹19.0
2022-10-09 11:30:33 +0000,6.7,MedPlus Bill ₹6.7
2022-10-09 17:35:33 +0000,12,Protein Supplement ₹12.0
2022-10-09 17:35:36 +0000,6.7,Jio Fiber Recharge ₹6.7
2022-10-09 20:33:58 +0000,6,Burger King Payment ₹6.0
2022-10-09 20:55:18 +0000,2.8,Apollo Pharmacy ₹2.8
2022-10-10 05:22:11 +0000,5.7,Coursera Subscription ₹5.7
2022-10-10 08:17:31 +0000,6.7,Netflix Subscription ₹6.7
2022-10-10 11:27:54 +0000,6.6,Pizza Hut Bill ₹6.6
2022-10-10 11:27:56 +0000,1.6,Doctor Visit ₹1.6
2022-10-10 17:39:46 +0000,16,Crypto Investment ₹16.0
2022-10-10 17:39:56 +0000,16,Donation ₹16.0
2022-10-11 05:00:14 +0000,1,Swiggy Payment ₹1.0
2022-10-11 09:34:57 +0000,9,CultFit Subscription ₹9.0
2022-10-11 10:22:25 +0000,7,MedPlus Bill ₹7.0
2022-10-11 15:01:28 +0000,6.7,Byjus Payment ₹6.7
2022-10-11 15:45:08 +0000,6.7,Skillshare Membership ₹6.7
2022-10-11 15:50:45 +0000,6.7,Reliance Fresh ₹6.7
2022-10-11 17:12:47 +0000,1,Yoga Class ₹1.0
